periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,4.9
2024,"Kab. Adm. Kep. Seribu","Kepulauan Seribu Utara","Pulau Kelapa",-5.653154127,106.571582,"Periode 2 (Musim Kering)","Nitrit (sebagai NO2) (terlarut)",3,0.07
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.01
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.03
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",Salinitas,N/A,2
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,4.35
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,317.5
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",ORP*,N/A,1.5
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",Deterjen,0.05,0.08
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)","Zat Organik (KMnO4)",10,3.22
2024,"Kota Adm. Jakarta Utara",Cilincing,"Semper Timur",-6.130861111,106.9400556,"Periode 1 (Musim Hujan)","Air Raksa",N/A,0.0009
2024,"Kota Adm. Jakarta Selatan",Pancoran,Rawajati,-6.26034,106.85268,"Periode 2 (Musim Kering)",Kadmium,N/A,0.005
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",IP,N/A,0.5
2024,"Kota Adm. Jakarta Timur",Pulogadung,Rawamangun,-6.198922,106.880913,"Periode 2 (Musim Kering)",Status,N/A,baik
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Total Coliform",0,1000
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",Temperatur,N/A,31.15
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,945
